area1,area2,area3,religion1,religion2,religion3
4,4,6,東海・北陸・近畿,京滋嶺南,舞鶴・丹後半島
4,5,1,東海・北陸・近畿,阪奈,大阪・北摂
4,5,2,東海・北陸・近畿,阪奈,堺・泉州
4,5,3,東海・北陸・近畿,阪奈,河内地域
4,5,4,東海・北陸・近畿,阪奈,奈良周辺
4,5,5,東海・北陸・近畿,阪奈,橿原・高田
4,5,6,東海・北陸・近畿,阪奈,五條・吉野
4,6,1,東海・北陸・近畿,兵庫,神戸・阪神
4,6,2,東海・北陸・近畿,兵庫,明石・加古川
4,6,3,東海・北陸・近畿,兵庫,姫路周辺
4,6,4,東海・北陸・近畿,兵庫,丹波・篠山
4,6,5,東海・北陸・近畿,兵庫,城崎・但馬
4,6,6,東海・北陸・近畿,兵庫,淡路島
5,1,1,中国・四国,山陰,鳥取周辺
5,1,2,中国・四国,山陰,倉吉周辺
5,1,3,中国・四国,山陰,米子・境港
5,1,4,中国・四国,山陰,松江・出雲
5,1,5,中国・四国,山陰,石見地域
5,1,6,中国・四国,山陰,隠岐諸島
5,2,1,中国・四国,吉備,岡山周辺
5,2,2,中国・四国,吉備,津山・美作
5,2,3,中国・四国,吉備,倉敷周辺
5,2,4,中国・四国,吉備,福山・尾道
5,2,5,中国・四国,吉備,三次・庄原
5,2,6,中国・四国,吉備,高梁・新見
5,3,1,中国・四国,広島・山口,広島・呉
5,3,2,中国・四国,広島・山口,芸北地域
5,3,3,中国・四国,広島・山口,岩国・柳井
5,3,4,中国・四国,広島・山口,山口・周南
5,3,5,中国・四国,広島・山口,下関・宇部
5,3,6,中国・四国,広島・山口,萩・長門
5,4,1,中国・四国,香川・徳島,丸亀・観音寺
5,4,2,中国・四国,香川・徳島,高松・大川
5,4,3,中国・四国,香川・徳島,小豆島
5,4,4,中国・四国,香川・徳島,徳島周辺
5,4,5,中国・四国,香川・徳島,三好・美馬
5,4,6,中国・四国,香川・徳島,阿南・日和佐
5,5,1,中国・四国,愛媛,三島・川之江
5,5,2,中国・四国,愛媛,新居浜・西条
5,5,3,中国・四国,愛媛,今治・越智
5,5,4,中国・四国,愛媛,松山周辺
5,5,5,中国・四国,愛媛,大洲・八幡浜
5,5,6,中国・四国,愛媛,宇和島周辺
5,6,1,中国・四国,高知,安芸・室戸
5,6,2,中国・四国,高知,高知・南国
5,6,3,中国・四国,高知,高知県嶺北地域
5,6,4,中国・四国,高知,伊野・仁淀川
5,6,5,中国・四国,高知,須崎・窪川
5,6,6,中国・四国,高知,中村・宿毛
6,1,1,九州・沖縄,福岡・佐賀,北九州周辺
6,1,2,九州・沖縄,福岡・佐賀,筑豊地域
6,1,3,九州・沖縄,福岡・佐賀,福岡周辺
6,1,4,九州・沖縄,福岡・佐賀,久留米・筑後
6,1,5,九州・沖縄,福岡・佐賀,佐賀・武雄
6,1,6,九州・沖縄,福岡・佐賀,唐津・伊万里
6,2,1,九州・沖縄,長崎,島原半島
6,2,2,九州・沖縄,長崎,長崎・諫早
6,2,3,九州・沖縄,長崎,佐世保・平戸
6,2,4,九州・沖縄,長崎,五島列島
6,2,5,九州・沖縄,長崎,壱岐島
6,2,6,九州・沖縄,長崎,対馬
6,3,1,九州・沖縄,大分,中津周辺
6,3,2,九州・沖縄,大分,日田周辺
6,3,3,九州・沖縄,大分,別府・国東
6,3,4,九州・沖縄,大分,大分周辺
6,3,5,九州・沖縄,大分,竹田・三重
6,3,6,九州・沖縄,大分,佐伯
6,4,1,九州・沖縄,熊本・薩摩,阿蘇地域
6,4,2,九州・沖縄,熊本・薩摩,熊本・八代
6,4,3,九州・沖縄,熊本・薩摩,人吉・球磨
6,4,4,九州・沖縄,熊本・薩摩,天草諸島
6,4,5,九州・沖縄,熊本・薩摩,川内・北薩
6,4,6,九州・沖縄,熊本・薩摩,鹿児島・南薩
6,5,1,九州・沖縄,宮崎・大隅,延岡・日向
6,5,2,九州・沖縄,宮崎・大隅,宮崎周辺
6,5,3,九州・沖縄,宮崎・大隅,日南・串間
6,5,4,九州・沖縄,宮崎・大隅,都城・諸県
6,5,5,九州・沖縄,宮崎・大隅,霧島・姶良
6,5,6,九州・沖縄,宮崎・大隅,大隅半島
6,6,1,九州・沖縄,南西諸島,屋久島・種子島
6,6,2,九州・沖縄,南西諸島,奄美群島
6,6,3,九州・沖縄,南西諸島,名護・国頭
6,6,4,九州・沖縄,南西諸島,那覇・沖縄
6,6,5,九州・沖縄,南西諸島,宮古列島
6,6,6,九州・沖縄,南西諸島,八重山列島
